Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CenterParcs,Chrome 69.0.3497.100,,2018-10-08 16:11:59,2018-10-08 16:20:28,8m - 28.968s,PASSED
,,,,,,
Test Cases/CenterParcs/CPDRMIN-7698,Chrome 69.0.3497.100,Booking outside of 6 month window,2018-10-08 16:11:59,2018-10-08 16:12:14,15.029s,PASSED
"Statement - emailAddress = ""winston""",Chrome 69.0.3497.100,,2018-10-08 16:11:59,2018-10-08 16:11:59,0.009s,PASSED
"Statement - currentPassword = ""Password123""",Chrome 69.0.3497.100,,2018-10-08 16:11:59,2018-10-08 16:11:59,0.001s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 16:11:59,2018-10-08 16:12:05,5.423s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 16:12:05,2018-10-08 16:12:06,1.166s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:12:06,2018-10-08 16:12:12,5.733s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:12:12,2018-10-08 16:12:12,0.115s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:12:12,2018-10-08 16:12:13,1.672s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-08 16:12:13,2018-10-08 16:12:13,0.045s,PASSED
Start listener action : tearDown,Chrome 69.0.3497.100,,2018-10-08 16:12:13,2018-10-08 16:12:14,0.665s,PASSED
,,,,,,
Test Cases/CenterParcs/CPDRMIN-4702,Chrome 69.0.3497.100,Registration - Tickbox,2018-10-08 16:12:14,2018-10-08 16:12:23,8.764s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 16:12:14,2018-10-08 16:12:18,4.115s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 16:12:18,2018-10-08 16:12:20,1.145s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:12:20,2018-10-08 16:12:21,1.121s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:12:21,2018-10-08 16:12:21,0.656s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:12:21,2018-10-08 16:12:22,0.630s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:12:22,2018-10-08 16:12:22,0.063s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:12:22,2018-10-08 16:12:22,0.064s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:12:22,2018-10-08 16:12:22,0.066s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:12:22,2018-10-08 16:12:22,0.050s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:12:22,2018-10-08 16:12:22,0.049s,PASSED
Start listener action : tearDown,Chrome 69.0.3497.100,,2018-10-08 16:12:22,2018-10-08 16:12:23,0.641s,PASSED
,,,,,,
Test Cases/CenterParcs/CPDRMIN-4720,Chrome 69.0.3497.100,Account Management - User gets locked out of account,2018-10-08 16:12:23,2018-10-08 16:17:45,5m - 22.503s,PASSED
"Statement - currentPassword = ""PasswordWrong1""",Chrome 69.0.3497.100,,2018-10-08 16:12:23,2018-10-08 16:12:23,0.001s,PASSED
"Statement - emailAddress = ""winston""",Chrome 69.0.3497.100,,2018-10-08 16:12:23,2018-10-08 16:12:23,0.001s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 16:12:23,2018-10-08 16:12:27,4.017s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 16:12:27,2018-10-08 16:12:28,1.125s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:12:28,2018-10-08 16:12:34,5.684s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-08 16:12:34,2018-10-08 16:12:35,0.651s,PASSED
Statement - sleep(5 * 60 * 1000),Chrome 69.0.3497.100,,2018-10-08 16:12:35,2018-10-08 16:17:35,5m - 0.001s,PASSED
"Statement - currentPassword = ""Password123""",Chrome 69.0.3497.100,,2018-10-08 16:17:35,2018-10-08 16:17:35,0.001s,PASSED
"Statement - emailAddress = ""winston""",Chrome 69.0.3497.100,,2018-10-08 16:17:35,2018-10-08 16:17:35,0.000s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 16:17:35,2018-10-08 16:17:39,4.320s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 16:17:39,2018-10-08 16:17:40,1.123s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:17:40,2018-10-08 16:17:45,4.776s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-08 16:17:45,2018-10-08 16:17:45,0.662s,PASSED
Start listener action : tearDown,Chrome 69.0.3497.100,,2018-10-08 16:17:45,2018-10-08 16:17:45,0.001s,PASSED
,,,,,,
Test Cases/CenterParcs/CPDRMIN-4704,Chrome 69.0.3497.100,"Registration - Correct details

Check in Gigya - to be done",2018-10-08 16:17:45,2018-10-08 16:18:22,36.139s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:17:46,2018-10-08 16:17:46,0.265s,PASSED
Statement - emailComms = false,Chrome 69.0.3497.100,,2018-10-08 16:17:46,2018-10-08 16:17:46,0.000s,PASSED
Statement - postComms = false,Chrome 69.0.3497.100,,2018-10-08 16:17:46,2018-10-08 16:17:46,0.000s,PASSED
Statement - smsComms = false,Chrome 69.0.3497.100,,2018-10-08 16:17:46,2018-10-08 16:17:46,0.001s,PASSED
"Statement - currentPassword = ""Password123""",Chrome 69.0.3497.100,,2018-10-08 16:17:46,2018-10-08 16:17:46,0.000s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 16:17:46,2018-10-08 16:17:50,4.013s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 16:17:50,2018-10-08 16:17:51,1.120s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:17:51,2018-10-08 16:17:55,3.827s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:17:55,2018-10-08 16:18:07,11.627s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-08 16:18:07,2018-10-08 16:18:07,0.655s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 16:18:07,2018-10-08 16:18:11,3.538s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 16:18:11,2018-10-08 16:18:12,1.126s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-08 16:18:12,2018-10-08 16:18:12,0.049s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:18:12,2018-10-08 16:18:14,1.873s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:18:14,2018-10-08 16:18:21,7.166s,PASSED
Start listener action : tearDown,Chrome 69.0.3497.100,,2018-10-08 16:18:21,2018-10-08 16:18:22,0.651s,PASSED
,,,,,,
Test Cases/CenterParcs/CPDRMIN-4734,Chrome 69.0.3497.100,"Registration - Correct details

Check in Gigya - to be done",2018-10-08 16:18:22,2018-10-08 16:18:45,23.391s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:18:22,2018-10-08 16:18:22,0.064s,PASSED
Statement - emailComms = true,Chrome 69.0.3497.100,,2018-10-08 16:18:22,2018-10-08 16:18:22,0.000s,PASSED
Statement - postComms = false,Chrome 69.0.3497.100,,2018-10-08 16:18:22,2018-10-08 16:18:22,0.001s,PASSED
Statement - smsComms = false,Chrome 69.0.3497.100,,2018-10-08 16:18:22,2018-10-08 16:18:22,0.000s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 16:18:22,2018-10-08 16:18:26,4.087s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 16:18:26,2018-10-08 16:18:27,1.129s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:18:27,2018-10-08 16:18:31,3.521s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:18:31,2018-10-08 16:18:42,11.898s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:18:42,2018-10-08 16:18:44,1.908s,PASSED
Start listener action : tearDown,Chrome 69.0.3497.100,,2018-10-08 16:18:44,2018-10-08 16:18:45,0.651s,PASSED
,,,,,,
Test Cases/CenterParcs/CPDRMIN-4735,Chrome 69.0.3497.100,Account creation & Login - Try to register against an account that already exists,2018-10-08 16:18:45,2018-10-08 16:19:06,20.580s,PASSED
"Statement - emailAddress = ""winston""",Chrome 69.0.3497.100,,2018-10-08 16:18:45,2018-10-08 16:18:45,0.000s,PASSED
"Statement - firstName = ""Tony""",Chrome 69.0.3497.100,,2018-10-08 16:18:45,2018-10-08 16:18:45,0.000s,PASSED
"Statement - lastName = ""Test""",Chrome 69.0.3497.100,,2018-10-08 16:18:45,2018-10-08 16:18:45,0.000s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 16:18:45,2018-10-08 16:18:50,4.430s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 16:18:50,2018-10-08 16:18:51,1.124s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:18:51,2018-10-08 16:18:55,3.861s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:18:55,2018-10-08 16:18:55,0.114s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-08 16:18:55,2018-10-08 16:19:05,10.250s,PASSED
Start listener action : tearDown,Chrome 69.0.3497.100,,2018-10-08 16:19:05,2018-10-08 16:19:06,0.657s,PASSED
,,,,,,
Test Cases/CenterParcs/CPDRMIN-7626,Chrome 69.0.3497.100,"Registration - Correct details

Check in Gigya - to be done",2018-10-08 16:19:06,2018-10-08 16:19:43,37.452s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:19:06,2018-10-08 16:19:06,0.066s,PASSED
Statement - emailComms = false,Chrome 69.0.3497.100,,2018-10-08 16:19:06,2018-10-08 16:19:06,0.000s,PASSED
Statement - postComms = false,Chrome 69.0.3497.100,,2018-10-08 16:19:06,2018-10-08 16:19:06,0.001s,PASSED
Statement - smsComms = false,Chrome 69.0.3497.100,,2018-10-08 16:19:06,2018-10-08 16:19:06,0.000s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 16:19:06,2018-10-08 16:19:10,4.473s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 16:19:10,2018-10-08 16:19:11,1.123s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:19:11,2018-10-08 16:19:15,3.844s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:19:15,2018-10-08 16:19:41,25.923s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:19:41,2018-10-08 16:19:42,1.230s,PASSED
Start listener action : tearDown,Chrome 69.0.3497.100,,2018-10-08 16:19:42,2018-10-08 16:19:43,0.654s,PASSED
,,,,,,
Test Cases/CenterParcs/CPDRMIN-7632,Chrome 69.0.3497.100,Create an account - Marketing Preference - all unset,2018-10-08 16:19:43,2018-10-08 16:20:06,22.621s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:19:43,2018-10-08 16:19:43,0.063s,PASSED
Statement - emailComms = false,Chrome 69.0.3497.100,,2018-10-08 16:19:43,2018-10-08 16:19:43,0.000s,PASSED
Statement - postComms = false,Chrome 69.0.3497.100,,2018-10-08 16:19:43,2018-10-08 16:19:43,0.000s,PASSED
Statement - smsComms = false,Chrome 69.0.3497.100,,2018-10-08 16:19:43,2018-10-08 16:19:43,0.000s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 16:19:43,2018-10-08 16:19:48,4.494s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 16:19:48,2018-10-08 16:19:49,1.124s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:19:49,2018-10-08 16:19:52,3.471s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:19:52,2018-10-08 16:20:04,11.322s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.100,,2018-10-08 16:20:04,2018-10-08 16:20:04,0.000s,PASSED
"Statement - wait = new org.openqa.selenium.support.ui.WebDriverWait(driver, 10)",Chrome 69.0.3497.100,,2018-10-08 16:20:04,2018-10-08 16:20:04,0.000s,PASSED
"Statement - userMenu = driver.findElements(org.openqa.selenium.By.xpath(""//*[@class = 'subnav__myprofile__username']""))",Chrome 69.0.3497.100,,2018-10-08 16:20:04,2018-10-08 16:20:04,0.021s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:20:04,2018-10-08 16:20:05,1.306s,PASSED
Start listener action : tearDown,Chrome 69.0.3497.100,,2018-10-08 16:20:05,2018-10-08 16:20:06,0.651s,PASSED
,,,,,,
Test Cases/CenterParcs/CPDRMIN-7633,Chrome 69.0.3497.100,Create an account - Marketing Preference - all set,2018-10-08 16:20:06,2018-10-08 16:20:28,22.117s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:20:06,2018-10-08 16:20:06,0.064s,PASSED
Statement - emailComms = true,Chrome 69.0.3497.100,,2018-10-08 16:20:06,2018-10-08 16:20:06,0.000s,PASSED
Statement - postComms = true,Chrome 69.0.3497.100,,2018-10-08 16:20:06,2018-10-08 16:20:06,0.000s,PASSED
Statement - smsComms = true,Chrome 69.0.3497.100,,2018-10-08 16:20:06,2018-10-08 16:20:06,0.000s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 16:20:06,2018-10-08 16:20:10,4.143s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 16:20:10,2018-10-08 16:20:11,1.124s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:20:11,2018-10-08 16:20:15,3.335s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:20:15,2018-10-08 16:20:26,11.318s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.100,,2018-10-08 16:20:26,2018-10-08 16:20:26,0.001s,PASSED
"Statement - wait = new org.openqa.selenium.support.ui.WebDriverWait(driver, 10)",Chrome 69.0.3497.100,,2018-10-08 16:20:26,2018-10-08 16:20:26,0.000s,PASSED
"Statement - userMenu = driver.findElements(org.openqa.selenium.By.xpath(""//*[@class = 'subnav__myprofile__username']""))",Chrome 69.0.3497.100,,2018-10-08 16:20:26,2018-10-08 16:20:26,0.015s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:20:26,2018-10-08 16:20:27,1.223s,PASSED
Start listener action : tearDown,Chrome 69.0.3497.100,,2018-10-08 16:20:27,2018-10-08 16:20:28,0.653s,PASSED
